afternoon,37
help,37
strength,37
began,37
town,37
met,37
better,37
Out,36
tears,36
strange,36
pink,36
dying,36
loved,36
drop,36
wanted,36
says,36
Was,36
tea,36
lives,36
watched,36
arm,36
times,36
already,36
star,36
knees,36
shape,36
Dem,35
dance,35
stuck,35
mud,35
clouds,35
nose,35
Come,35
Nothing,35
throat,35
fat,35
weight,35
hot,35
beside,35
poetry,35
taking,35
learn,35
age,35
moving,35
wild,35
longer,35
sure,35
poor,35
lines,35
books,35
crying,34
skull,34
hung,34
ears,34
feeling,34
lot,34
break,34
passed,34
language,34
Every,34
since,34
pair,34
mirror,34
nor,34
seem,34
top,34
heavy,34
point,34
taken,34
strong,34
truth,34
heat,34
different,34
dey,33
catch,33
sight,33
belly,33
roof,33
clothes,33
sheep,33
stopped,33
foot,33
walls,33
known,33
use,33
seems,33
These,33
Can,32
roots,32
mother's,32
hills,32
wo,32
Just,32
flat,32
Well,32
mad,32
Time,32
Under,32
spring,32
steps,32
except,32
Because,32
others,32
Till,31
gently,31
brain,31
calm,31
forever,31
getting,31
wonder,31
walking,31
Money,31
stay,31
ask,31
bring,31
holding,31
waves,31
tail,31
box,31
early,31
second,31
within,31
bare,30
dis,30
missed,30
boots,30
dress,30
ate,30
grew,30
listening,30
Yes,30
stands,30
fur,30
tide,30
safe,30
Before,30
cat,30
answer,30
sort,30
singing,30
fun,30
happy,30
notice,30
reach,30
running,30
meet,30
given,30
colours,30
taste,30
sad,29
lift,29
smoke,29
forest,29
low,29
ear,29
rising,29
golden,29
Sunday,29
Why,29
Once,29
Over,29
birth,29
forward,29
ready,29
begins,29
history,29
straight,29
job,29
rich,29
imagine,29
hardly,29
begin,29
milk,28
game,28
laugh,28
mist,28
forget,28
bits,28
metal,28
breathing,28
thinking,28
asked,28
ran,28
everywhere,28
takes,28
Mrs,28
closed,28
step,28
Yet,28
instead,28
short,28
spread,28
turns,28
note,28
Too,27
ball,27
naked,27
god,27
cool,27
secret,27
boys,27
shoes,27
ring,27
curtains,27
hole,27
hill,27
salt,27
beautiful,27
bar,27
passing,27
wine,27
Old,27
wish,27
John,27
huge,27
believe,27
art,27
flower,27
often,27
fresh,27
understand,27
seven,27
wood,27
sometimes,27
mek,26
mus,26
weeping,26
poem,26
drowned,26
beauty,26
hide,26
asleep,26
gate,26
tired,26
sick,26
showed,26
mountain,26
lawn,26
ourselves,26
horse,26
liked,26
royal,26
apart,26
turning,26
Mr,26
Though,26
chair,26
delicate,26
matter,26
mean,26
New,26
filled,26
fill,26
II,26
circle,26
ones,26
distance,26
story,26
picture,26
case,26
large,26
smiles,25
Outside,25
sunlight,25
seat,25
Remember,25
sounds,25
oak,25
ice,25
palm,25
Will,25
Did,25
burst,25
minutes,25
gets,25
shut,25
plastic,25
Christmas,25
talking,25
nice,25
bone,25
letters,25
growing,25
today,25
chance,25
happened,25
bread,25
son,25
food,25
nest,25
Man,25
telephone,25
anyone,25
standing,25
seeing,25
offer,25
falling,25
recall,25
thick,25
lying,25
miles,25
Between,25
dere,24
flies,24
marble,24
dreamed,24
bloody,24
beach,24
flame,24
orange,24
pick,24
St,24
lifted,24
weather,24
burn,24
eating,24
yourself,24
Oh,24
quick,24
news,24
spent,24
playing,24
ancient,24
forgotten,24
doing,24
business,24
Perhaps,24
wheels,24
shoulders,24
England,24
dogs,24
onto,24
easy,24
written,24
Dis,23
drops,23
hell,23
steel,23
hearts,23
pulled,23
beat,23
stare,23
apple,23
dear,23
OF,23
power,23
breast,23
traffic,23
Life,23
started,23
months,23
wake,23
Still,23
park,23
changed,23
public,23
sent,23
shed,23
care,23
III,23
double,23
question,23
Those,23
drawn,23
view,23
carefully,23
least,23
form,23
number,23
nowhere,23
North,23
sleeping,22
Have,22
calling,22
egg,22
landscape,22
stick,22
drunk,22
built,22
hanging,22
IN,22
path,22
knowing,22
walked,22
sweet,22
staring,22
tall,22
