415	145	feel	
416	145	laid	
417	145	tom	
418	144	either	
419	144	every	
420	144	lands	
421	143	denethor	
422	143	isengard	
423	142	same	
424	142	sauron	
425	142	use	
426	141	eye	
427	141	heavy	
428	141	laughed	
429	141	leaves	
430	141	wild	
431	141	won	
432	140	each	
433	139	ahead	
434	139	low	
435	139	o	
436	139	often	
437	139	voices	
438	138	precious	
439	137	always	
440	137	foot	
441	137	return	
442	136	sprang	
443	135	food	
444	135	sight	
445	134	caught	
446	133	became	
447	133	chapter	
448	133	seems	
449	133	strong	
450	133	word	
451	132	anything	
452	132	home	
453	132	stones	
454	131	being	
455	131	horses	
456	131	plain	
457	130	bree	
458	130	fallen	
459	130	m	
460	130	mean	
461	130	short	
462	130	themselves	
463	129	elf	
464	128	below	
465	128	ents	
466	128	evening	
467	128	filled	
468	128	halted	
469	128	silence	
470	127	country	
471	127	death	
472	127	middle	
473	127	rock	
474	126	top	
475	125	bright	
476	125	doom	
477	125	hold	
478	125	known	
479	125	quite	
480	125	rather	
481	125	times	
482	124	led	
483	124	returned	
484	123	mark	
485	123	quickly	
486	122	taken	
487	122	used	
488	122	young	
489	121	standing	
490	120	edge	
491	120	large	
492	120	running	
493	120	sent	
494	119	cut	
495	119	else	
496	118	wait	
497	117	beneath	
498	117	gold	
499	117	hall	
500	117	tirith	
501	116	cry	
502	116	remember	
503	116	song	
504	115	turning	
505	115	understand	
506	114	bit	
507	114	bring	
508	114	seem	
509	114	tale	
510	113	doors	
511	113	dwarf	
512	113	follow	
513	113	lie	
514	113	woods	
515	112	climbed	
516	112	ere	
517	112	ready	
518	112	stay	
519	112	weary	
520	111	best	
521	111	hidden	
522	111	miles	
523	111	reached	
524	111	rivendell	
525	110	because	
526	110	golden	
527	110	line	
528	110	till	
529	109	glad	
530	109	meet	
531	109	neither	
532	109	swiftly	
533	108	bent	
534	108	guard	
535	108	jowyn	
536	108	living	
537	107	forgotten	
538	107	friend	
539	107	kept	
540	106	bank	
541	106	bear	
542	106	walk	
543	105	chance	
544	105	places	
545	105	stand	
546	105	work	
547	104	fields	
548	103	forth	
549	103	run	
550	102	afraid	
551	102	falling	
552	102	lifted	
553	102	rising	
554	102	talk	
555	101	ask	
556	101	gates	
557	101	wizard	
558	101	year	
559	100	aside	
560	100	bag	
561	100	farewell	
562	100	spring	
563	99	peace	
564	99	wise	
565	99	within	
566	98	cast	
567	98	memory	
568	98	trouble	
569	97	eastward	
570	97	legs	
571	97	secret	
572	97	swift	
573	97	unless	
574	96	growing	
575	96	remained	
576	95	cloak	
577	95	elven	
578	95	free	
579	95	horn	
580	95	next	
581	95	sign	
582	95	true	
583	94	breath	
584	94	four	
585	94	hardly	
586	94	nearly	
587	94	poor	
588	93	ancient	
589	93	bridge	
590	93	escape	
591	93	mist	
592	93	moria	
593	93	peril	
594	93	soft	
595	93	sure	
596	93	watch	
597	92	given	
598	92	opened	
599	92	smoke	
600	91	dim	
601	91	host	
602	91	move	
603	91	rider	
604	90	become	
605	90	bore	
606	90	faces	
607	90	life	
608	90	nice	
609	90	straight	
610	90	sudden	
611	89	bed	
612	89	care	
613	89	getting	
614	89	ill	
615	89	inside	
616	89	late	
617	89	lies	
618	89	tales	
619	88	hair	
620	88	matter	
621	88	myself	
622	88	outside	
623	88	singing	
624	87	bowed	
625	87	passing	
626	87	really	
627	87	safe	
628	87	softly	
629	86	companions	
630	86	deal	
631	86	hearts	
632	86	helm	
633	86	length	
634	86	mighty	
635	86	narrow	
636	86	tongue	
637	86	window	
638	85	clouds	
639	85	drink	
640	85	dwarves	
641	85	galadriel	
642	85	kings	
643	85	knows	
644	85	room	
645	85	shining	
646	85	slow	
647	85	try	
648	85	vanished	
649	84	arm	
650	84	live	
651	84	lying	
652	84	point	
653	83	broke	
654	83	fled	
655	83	riding	
656	82	love	
657	82	speed	
658	82	steps	
659	81	baggins	
660	81	big	
661	81	danger	
662	81	empty	
663	81	except	
664	81	houses	
665	81	moving	
666	81	paths	
667	81	present	
668	81	whether	
669	80	counsel	
670	80	desire	
671	80	happened	
672	80	nearer	
673	80	stopped	
674	80	suppose	
675	79	alas	
676	79	captain	
677	79	chief	
678	79	cloud	
679	79	hundred	
680	79	kind	
681	79	later	
682	79	orthanc	
683	78	clad	
684	78	floor	
685	77	cliff	
686	77	goes	
687	77	heads	
688	77	hours	
689	77	quick	
690	77	rain	
691	77	stair	
692	77	tired	
693	76	field	
694	76	lead	
695	76	moved	
696	76	slopes	
697	76	tidings	
698	76	walking	
699	75	closed	
700	75	dream	
701	75	fast	
702	75	guessed	
703	75	isildur	
704	75	met	
705	75	noise	
706	74	dawn	
707	74	front	
708	74	mouth	
709	74	names	
710	74	quiet	
711	74	sitting	
712	74	story	
713	74	westward	
714	74	worse	
715	73	anyway	
716	73	aware	
717	73	beregond	
718	73	borders	
719	73	butterbur	
720	73	dear	
721	73	ears	
722	73	gathered	
723	73	lurien	
724	73	passage	
725	73	seldom	
726	73	shape	
727	73	sir	
728	73	tried	
729	73	whole	
730	72	doing	
731	72	nine	
732	72	opening	
733	72	rings	
734	71	anduin	
735	71	book	
